year,smoke_estimate
1963,410.95168560899486
1964,352.2055212819692
1965,321.91007236063604
1966,484.62865049685223
1967,485.65363778456776
1968,438.03651615663756
1969,331.8710898169855
1970,587.7864626155733
1971,447.1252747078229
1972,461.20516404083156
1973,588.5716968463972
1974,533.5990421482272
1975,434.1058319639318
1976,487.54412276800235
1977,445.9644552870461
1978,420.0967920273073
1979,730.7046256940716
1980,819.4992660657879
1981,1063.8778792047008
1982,543.0228681016403
1983,774.3125282950566
1984,982.0546771700065
1985,1486.140594860099
1986,1360.891582753699
1987,1670.0796017249827
1988,1722.5467448668041
1989,1256.7727954011173
1990,1037.4142696170065
1991,1058.9050889001896
1992,1255.4523727800845
1993,549.9220916287308
1994,1876.4043968966262
1995,912.2663711540011
1996,1839.0825975173088
1997,771.4947882865985
1998,1236.8851675813858
1999,1669.231824843914
2000,3026.48615593957
2001,1938.9700645044968
2002,1646.064918495761
2003,2202.5184199739388
2004,1092.7996582935361
2005,1985.3384219949285
2006,2970.762911466961
2007,2634.775452963146
2008,1859.8896233932892
2009,1773.3921567774496
2010,1715.5335799048105
2011,2348.645529210674
2012,2841.3587156171056
2013,2089.017441181635
2014,1942.437480094029
2015,2663.9634184253164
2016,2326.9938703507605
2017,3249.5166785226793
2018,2788.5398484506345
2019,2173.605563228191
2020,4118.7126408276845
